"Window","Show System Menu","Alt+-","In Windows"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"C/C++ Source","Find References","Shift+Ctrl+G","In C/C++ Views"
"Views","Show View (View: Search)","Shift+Alt+Q S","In Windows"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"SVN","URL...","Ctrl+Alt+R","In Windows"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Views","Show View (View: Package Explorer)","Shift+Alt+Q P","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Open Declaration","F3","JavaScript View"
"Views","Show View (View: History)","Shift+Alt+Q Z","In Windows"
"SVN","Commit...","Ctrl+Alt+C","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"SVN","Synchronize with Repository","Ctrl+Alt+S","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"SVN","Latest from Repository","Ctrl+Alt+L","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Window","Quick Access","Ctrl+3","In Windows"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"SVN","Update","Ctrl+Alt+U","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Views","Show View (View: )","Shift+Alt+Q D","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Run/Debug","Debug","F11","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Navigate","Previous Tab","Ctrl+Alt+Left","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Views","Show View (View: Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Run/Debug","Go to Address...","Ctrl+G","In DSF Disassembly"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"File","Save","Ctrl+S","In Windows"
"Views","Show View (View: Breakpoints)","Shift+Alt+Q B","In Windows"
"Views","Show View (View: Documentation)","Shift+Alt+Q J","JavaScript View"
"Project","Build All","Ctrl+B","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"WikiText Markup Editing Commands","Display Cheat Seet Command","F1","WikiText Markup Source Context"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Navigate","Open Declaration","F3","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"C/C++ Source","Find Declaration","Ctrl+G","In C/C++ Views"
"Run/Debug","Go to Program Counter","Home","In DSF Disassembly"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"File","Close All","Shift+Ctrl+W","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Views","JavaScript Script Explorer","Shift+Alt+Q P","JavaScript View"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Text Editing","Line End","End","Editing Text"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Edit","Delete","Delete","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","JavaScript View"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"File","New","Ctrl+N","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Task","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"C/C++ Source","Find References","Shift+Ctrl+G","C/C++ Editor"
"Navigate","Matching Bracket","Shift+Ctrl+P","Editing in Structured Text Editors"
"Task","Mark Task Read","Shift+Alt+R","In Tasks View"
"Navigate","Backward History","Alt+Left","In Windows"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"SVN","Create Patch...","Ctrl+Alt+P","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing JavaScript Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Views","Show View (View: Outline)","Shift+Alt+Q O","In Windows"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Task","New Subtask","Shift+Insert","In Tasks View"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks View"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"SVN","Show Properties","Ctrl+Alt+W","In Windows"
"SVN","Show Revision Graph","Ctrl+Alt+Q","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"JavaScript Debug","Open Source","Shift+Ctrl+3","Debugging"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"SVN","Add to svn:ignore...","Ctrl+Alt+I","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Edit","Word Completion","Alt+/","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Task","Show Tooltip Description","F4","In Tasks View"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Task","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Views","Show View (View: Hierarchy)","Shift+Alt+Q T","JavaScript View"
"File","Rename","F2","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Views","Show View (View: Javadoc)","Shift+Alt+Q J","In Windows"
"Views","Show View (View: Error Log)","Shift+Alt+Q L","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Project","Make Target Build","Shift+F9","In Windows"
"Task","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"SVN","Show Annotation...","Ctrl+Alt+A","In Windows"
"Project","Rebuild Last Target","F9","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"File","Save All","Shift+Ctrl+S","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Views","Show View (View: Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Views","Show View (View: Task List)","Shift+Alt+Q K","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"SVN","Lock...","Ctrl+Alt+K","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Views","Show View (View: Declaration)","Shift+Alt+Q D","JavaScript View"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Navigate","Previous","Ctrl+,","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Reverse Debugging Commands","Reverse StepInto","Shift+F5","Debugging C/C++"
"File","Refresh","F5","In Windows"
"SVN","%UpdateToRevision.label","Ctrl+Alt+D","In Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Reverse Debugging Commands","Reverse StepOver","Shift+F6","Debugging C/C++"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
